Name,item,x,y,year,type
Alybai 1,Cave,84.25455,49.25074,2017,resource attractive places
Alybai 4,Rockshelter,84.26608,49.25136,2017,resource attractive places
Novaya Bukhtarma,Cave,83.49562,49.63318,2017,resource attractive places
Pantelejmonovka Grottoes,Cave,83.2277,49.17424,2017,resource attractive places
Aqbastau 1,Cave,69.73274,42.08991,2018,resource attractive places
Aqbastau 2,Cave,69.73219,42.08567,2018,resource attractive places
Aqbastau 3,Cave,69.73468,42.08968,2018,resource attractive places
Aqmeshit,Cave,69.70397,43.00624,2018,resource attractive places
Aqtasty 1,Cave,79.39044,43.00251,2018,resource attractive places
Aqtasty 3,Cave,79.39553,43.02624,2018,resource attractive places
Aqtasty 4,Cave,79.39543,43.0261,2018,resource attractive places
Aqtasty 5,Cave,79.39656,43.02592,2018,resource attractive places
Aquiyq 1,Cave,67.67623,43.93675,2018,resource attractive places
Aquiyq 2,Cave,67.68265,43.9323,2018,resource attractive places
Besaryq 1,Cave,67.84446,43.81467,2018,resource attractive places
Besaryq 3,Cave,67.8736,43.84153,2018,resource attractive places
Black Cave,Cave,79.33434,45.29349,2018,resource attractive places
Bolat Cave,Cave,81.00306,45.75914,2018,resource attractive places
Boraldai 1,Rockshelter,70.05222,42.87114,2018,resource attractive places
Boraldai 2,Cave,70.05931,42.8724,2018,resource attractive places
Boraldai 3,Cave,70.06119,42.87346,2018,resource attractive places
Bostau,Rockshelter,68.16642,43.70356,2018,resource attractive places
Hantagy 1,Cave,68.70875,43.60215,2018,sites
Hantagy 2,Rockshelter,68.70589,43.60168,2018,resource attractive places
Hantagy 4,Cave,68.70086,43.59208,2018,resource attractive places
Iqansu 2,Cave,68.73063,43.46025,2018,resource attractive places
Iqansu 3,Small cave,68.73124,43.45949,2018,resource attractive places
Iqansu 4,Cave,68.73282,43.46056,2018,resource attractive places
Janibek,Cave,68.87771,43.71718,2018,resource attractive places
Jaryqbas 1,Rockshelter,69.90583,43.08373,2018,resource attractive places
Jaryqbas 10,Cave,69.90721,43.07058,2018,resource attractive places
Jaryqbas 11,Rockshelter,69.93475,43.10169,2018,resource attractive places
Jaryqbas 2,Cave,69.87579,43.07397,2018,resource attractive places
Jaryqbas 3,Cave,69.92618,43.09509,2018,resource attractive places
Jaryqbas 4,Cave,69.91399,43.10882,2018,resource attractive places
Jaryqbas 5,Rockshelter,69.91708,43.10061,2018,resource attractive places
Jaryqbas 6,Cave,69.87294,43.08949,2018,resource attractive places
Jaryqbas 7,Cave,69.87193,43.09011,2018,resource attractive places
Jaryqbas 8,Cave,69.8705,43.09233,2018,resource attractive places
Jaryqbas 9,Cave,69.86019,43.09177,2018,resource attractive places
Jetiotau,Cave,69.79451,43.12254,2018,resource attractive places
Jetiungir,Cave,79.46077,43.03318,2018,resource attractive places
Kishi Boraldai 1,Cave,69.82438,42.87367,2018,resource attractive places
Kishi Boraldai 2,Cave,69.8231,42.87384,2018,resource attractive places
Kishi Boraldai 3,Cave,69.82555,42.87457,2018,resource attractive places
Kishi Boraldai 4,Rockshelter,69.83209,42.87307,2018,resource attractive places
Kishi Boraldai 5,Cave,69.82024,42.87392,2018,resource attractive places
Kokpek 1,Cave,78.60464,43.52594,2018,resource attractive places
Meshel Qora,Cave,78.55726,44.16411,2018,resource attractive places
Qaraungir 2,Cave,69.91463,42.66292,2018,resource attractive places
Qaraungir 3,Cave,69.91392,42.66308,2018,resource attractive places
Qaraungir Iqansu,Cave,68.73344,43.46998,2018,resource attractive places
Qatyn Qamal,Cave,67.68291,43.93585,2018,resource attractive places
Qumyra,Cave,67.85385,43.81152,2018,resource attractive places
Qundyz,Cave,67.8645,43.82298,2018,resource attractive places
Qyzqorgan 1,Cave,68.62822,43.53573,2018,resource attractive places
Qyzqorgan 2,Cave,68.62888,43.53165,2018,resource attractive places
Qyzqorgan 3,Rockshelter,68.63817,43.54011,2018,resource attractive places
Qyzqorgan 4,Rockshelter,68.63896,43.54008,2018,resource attractive places
Qyzqorgan 5,Rockshelter,68.63919,43.54349,2018,resource attractive places
Qyzqorgan 6,Rockshelter,68.62775,43.51952,2018,resource attractive places
Qyzyljartas,Cave,68.89863,43.71046,2018,sites
Shuqyrshaq 1,Cave,70.00222,42.96614,2018,resource attractive places
Suly,Cave,70.27864,42.18254,2018,resource attractive places
Taldybulaq 1,Cave,69.03376,43.40227,2018,resource attractive places
Taldybulaq 2,Cave,69.03381,43.4016,2018,resource attractive places
Taldybulaq 3,Cave,69.03337,43.39632,2018,resource attractive places
Tereksai 3,Small cave,68.66371,43.48836,2018,resource attractive places
